C-A10KJE-0;C-MMW-0;C-PCM2-0;F-PROD4;F-PROD1;F-PROD2;F-PROD3
A10KJE-202503;MMW-3;KJPC2-82;27281,5;0,0;0,0;0,0
A10KJE-202503;MMW-3;KJPC2-85;477,2;0,0;0,0;0,0
A10KJE-202503;MMW-3;KJPC2-86;1082,8;0,0;0,0;0,0
A10KJE-202503;MMW-3;KJPC2-93;680,8;0,0;0,0;0,0
A10KJE-202503;MMW-3;KJPC2-95;11434,3;0,0;0,0;0,0
A10KJE-202503;MMW-3;KJPC2-96;2314,1;0,0;0,0;0,0
A10KJE-202503;MMW-1;KJPC2-06;:;:;:;:
A10KJE-202503;MMW-1;KJPC2-07;:;:;:;:
A10KJE-202503;MMW-1;KJPC2-51;:;0,0;0,0;0,0
A10KJE-202503;MMW-1;KJPC2-59;:;0,0;0,0;0,0
A10KJE-202503;MMW-1;KJPC2-64;:;0,0;0,0;0,0
A10KJE-202503;MMW-1;KJPC2-69;:;0,0;0,0;0,0
A10KJE-202503;MMW-1;KJPC2-79;:;0,0;0,0;0,0
A10KJE-202503;MMW-2;KJPC2-06;:;:;:;:
A10KJE-202503;MMW-2;KJPC2-07;:;:;:;:
A10KJE-202503;MMW-2;KJPC2-51;:;0,0;0,0;0,0
A10KJE-202503;MMW-2;KJPC2-59;:;0,0;0,0;0,0
A10KJE-202503;MMW-2;KJPC2-64;:;0,0;0,0;0,0
A10KJE-202503;MMW-2;KJPC2-69;:;0,0;0,0;0,0
A10KJE-202503;MMW-2;KJPC2-79;:;0,0;0,0;0,0
A10KJE-202504;MMW-3;KJPC2-06;:;:;:;:
A10KJE-202504;MMW-3;KJPC2-07;:;:;:;:
A10KJE-202504;MMW-3;KJPC2-08;94729,3;93700,7;93700,7;93831,8
A10KJE-202504;MMW-3;KJPC2-09;5179,2;5179,2;5179,2;5179,2
A10KJE-202504;MMW-3;KJPC2-10;1762879,5;1767400,8;1767400,8;1762853,8
A10KJE-202504;MMW-3;KJPC2-11;888091,1;268621,5;268621,5;886739,5
A10KJE-202504;MMW-3;KJPC2-13;113599,9;96285,7;96373,2;104427,5
A10KJE-202504;MMW-3;KJPC2-14;33396,0;12340,7;12340,7;31194,7
A10KJE-202504;MMW-3;KJPC2-15;34346,8;17565,7;17565,7;38546,5
A10KJE-202504;MMW-3;KJPC2-16;824409,6;852226,2;852226,2;858817,9
A10KJE-202504;MMW-3;KJPC2-17;558069,9;592982,1;628066,0;592424,0
A10KJE-202504;MMW-3;KJPC2-18;131577,5;113541,0;113541,0;112932,1
A10KJE-202504;MMW-3;KJPC2-19;465371,9;516813,8;516813,8;516813,8
A10KJE-202504;MMW-3;KJPC2-20;755360,4;693334,4;732503,5;754944,1
A10KJE-202504;MMW-3;KJPC2-21;524834,2;575747,8;582031,4;512103,2
A10KJE-202504;MMW-3;KJPC2-22;621293,9;627026,6;627026,6;623902,7
A10KJE-202504;MMW-3;KJPC2-23;532289,4;533735,5;533735,5;533041,1
A10KJE-202504;MMW-3;KJPC2-24;1846524,9;1875849,1;2366370,2;1869603,0
A10KJE-202504;MMW-3;KJPC2-25;1355762,0;1331973,5;1331973,5;1300565,1
A10KJE-202504;MMW-3;KJPC2-26;794708,9;733857,8;733857,8;794306,1
A10KJE-202504;MMW-3;KJPC2-27;955063,1;921976,5;921976,5;940069,1
A10KJE-202504;MMW-3;KJPC2-28;1806230,3;1818347,5;1818347,5;1816592,3
A10KJE-202504;MMW-3;KJPC2-29;1263638,6;1237122,4;1237122,4;1234293,5
A10KJE-202504;MMW-3;KJPC2-30;420512,2;394108,1;394108,1;409601,8
A10KJE-202504;MMW-3;KJPC2-31;227862,8;226281,5;226281,5;226302,4
A10KJE-202504;MMW-3;KJPC2-32;285388,1;495757,4;495757,4;497718,0
A10KJE-202504;MMW-3;KJPC2-33;672788,9;0,0;0,0;0,0
A10KJE-202504;MMW-3;KJPC2-35;4600157,4;4617412,7;4617412,7;4617412,7
A10KJE-202504;MMW-3;KJPC2-36;53983,7;56114,7;56114,7;56114,7
A10KJE-202504;MMW-3;KJPC2-37;120145,2;119248,9;119248,9;119248,9
A10KJE-202504;MMW-3;KJPC2-38;425874,0;419752,0;419752,0;418615,7
A10KJE-202504;MMW-3;KJPC2-39;7319,0;7319,0;7319,0;7319,0
A10KJE-202504;MMW-3;KJPC2-41;1171902,9;1080393,7;1080393,7;1165452,8
A10KJE-202504;MMW-3;KJPC2-42;845695,6;837718,0;837718,0;843973,7
A10KJE-202504;MMW-3;KJPC2-43;1874475,1;319559,4;319559,4;323230,4
A10KJE-202504;MMW-3;KJPC2-44;530370,7;382841,8;382841,8;382521,4
A10KJE-202504;MMW-3;KJPC2-46;1219950,5;0,0;0,0;0,0
A10KJE-202504;MMW-3;KJPC2-47;258524,1;0,0;0,0;0,0
A10KJE-202504;MMW-3;KJPC2-49;29330,0;0,0;0,0;0,0
A10KJE-202504;MMW-3;KJPC2-52;17874,8;0,0;0,0;0,0
A10KJE-202504;MMW-3;KJPC2-53;21,9;0,0;0,0;0,0
A10KJE-202504;MMW-3;KJPC2-55;232,8;0,0;0,0;0,0
